# KLMN-TV — Cable and satellite carriage by provider and market

| Provider | Market/Area | SD Channel | HD Channel | Carriage Status | Notes |
| --- | --- | --- | --- | --- | --- |
| Comcast Xfinity | Denver, CO | 12 | 712 | Available | Carried on "Local" lineup |
| Spectrum (Charter) | Denver, CO | 9 | 780 | Available | Channel numbers vary by municipality |
| Cox Communications | Phoenix, AZ | 6 | 1006 | Available | Requires "Contour Basic" or higher |
| DirecTV | National (US) | 44 | 1044 | Available | Local-into-local only in eligible ZIP codes |
| Dish Network | National (US) | 32 | 832 | Available | Satellite locals package; HD in select DMAs |
| Verizon FiOS | Philadelphia, PA | 18 | 518 | Available | Digital-only in some systems |
| Mediacom | Des Moines, IA | 7 | 807 | Available | Small-system lineups may differ |
| Optimum (Altice) | Long Island, NY | 14 | 714 | Unavailable | Station not added to this market lineup |
| Sparklight | Boise, ID | 5 | 705 | Available | HD requires compatible set-top box |
