# iPod nano price guide (model identifiers, storage tiers, and typical market prices)

| iPod nano Model (Generation) | Model Identifier | Storage Options | Typical List Price at Launch (USD) | Typical Used Price (USD) | Typical Refurb Price (USD) | Common Condition Notes |
|---|---|---|---:|---:|---:|---|
| iPod nano 7th Gen (2012/2015) | A1446 | 16 GB | 149 | 75–120 | 90–140 | Condition strongly tied to screen scratches and included cable |
| iPod nano 6th Gen (2010) | A1366 | 8 GB / 16 GB | 149 | 35–80 | 55–95 | Clip wear; battery health varies widely |
| iPod nano 5th Gen (2009) | A1320 | 8 GB / 16 GB | 149 | 25–70 | 45–85 | Camera model; dents on anodized shell common |
| iPod nano 4th Gen (2008) | A1285 | 8 GB / 16 GB | 149 | 20–60 | 35–75 | Backplate scratching is a major price driver |
| iPod nano 3rd Gen (2007) | A1236 | 4 GB / 8 GB | 149 | 18–55 | 30–65 | Squared design; check click wheel responsiveness |
| iPod nano 2nd Gen (2006) | A1199 | 2 GB / 4 GB / 8 GB | 149 | 12–40 | 25–55 | Screen haze and battery aging affect value |
| iPod nano 1st Gen (2005) | A1137 | 1 GB / 2 GB / 4 GB | 149 | 10–35 | 20–50 | Earliest models; many listings are ‘battery weak’ |
| iPod nano 7th Gen (special color variants) | A1446 | 16 GB | 149 | 90–140 | 110–160 | Certain colors sell higher if boxed and matching accessories |
| iPod nano 6th Gen (boxed complete) | A1366 | 8 GB / 16 GB | 149 | 60–110 | 80–120 | Box + manuals + cable often increase price |
| iPod nano 4th/5th Gen (engraved) | A1285 / A1320 | 8 GB / 16 GB | 149 | 15–55 | 30–70 | Engraving typically lowers resale value |
