# CYP450 and Transporter Interactions for Antibiotics Commonly Discussed in Prostatitis

| Antibiotic | Major metabolic pathway | CYP enzyme effect (inhibitor/inducer) | Clinically notable interaction example | Monitoring/management |
| --- | --- | --- | --- | --- |
| Ciprofloxacin | Partial hepatic metabolism | CYP1A2 inhibitor | Theophylline (↑ levels) | Consider dose adjustment/monitor levels |
| Levofloxacin | Minimal CYP metabolism | null/minor | QT-prolonging agents | ECG risk assessment |
| Trimethoprim-sulfamethoxazole | Hepatic + renal | CYP2C9 inhibitor | Warfarin (↑ INR) | INR monitoring |
| Doxycycline | Minimal CYP involvement | null/minor | Antacids/iron (↓ absorption) | Separate administration times |
| Azithromycin | Limited CYP metabolism | Weak CYP3A4 interaction | Other QT-prolonging drugs | Avoid/monitor QT risk |
| Rifampin | Hepatic metabolism | Strong CYP3A4 inducer | Oral contraceptives (↓ efficacy) | Alternative contraception |
| Clarithromycin | Hepatic metabolism | CYP3A4 inhibitor | Statins (↑ myopathy risk) | Avoid certain statins |
| Linezolid | Non-CYP metabolism | MAOI-like interaction | SSRIs (serotonin syndrome) | Monitor/avoid combinations |
| Metronidazole | Hepatic metabolism | CYP2C9 inhibitor (context-dependent) | Alcohol (disulfiram-like reaction) | Avoid alcohol |
