# Zinc Density Ranking (mg per 100 kcal) Rather Than Per Serving

| Food | Zinc (mg) | Reference Basis | Calories Basis |
|---|---:|---|---|
| Oysters, cooked | 30.0 | per 100 kcal | energy density metric |
| Beef, cooked | 3.5 | per 100 kcal | energy density metric |
| Pumpkin seeds | 2.6 | per 100 kcal | energy density metric |
| Crab, cooked | 4.0 | per 100 kcal | energy density metric |
| Cheddar cheese | 2.2 | per 100 kcal | energy density metric |
| Chickpeas, cooked | 1.1 | per 100 kcal | energy density metric |
| Lentils, cooked | 0.9 | per 100 kcal | energy density metric |
| Spinach, cooked | 1.8 | per 100 kcal | energy density metric |
| Oatmeal, cooked | 0.7 | per 100 kcal | energy density metric |
| Dark chocolate | 1.1 | per 100 kcal | energy density metric |
