# Super Smash Bros. — Fighter Universe and Franchise Origin Reference

| Fighter | Universe/Franchise | First game appearance | Original publisher | Series category |
|---|---|---|---|---|
| Meta Knight | Kirby | Kirby's Adventure | Nintendo | Platformer |
| Mewtwo | Pokémon | Pokémon Red/Blue | Nintendo | RPG |
| Captain Falcon | F-Zero | F-Zero | Nintendo | Racing |
| Ness | EarthBound | EarthBound | Nintendo | RPG |
| Sheik | The Legend of Zelda | Ocarina of Time | Nintendo | Adventure |
| Rosalina | Super Mario | Super Mario Galaxy | Nintendo | Platformer |
| Cloud | Final Fantasy | Final Fantasy VII | Square | RPG |
| Ryu | Street Fighter | Street Fighter | Capcom | Fighting |
| Mega Man | Mega Man | Mega Man | Capcom | Action |
| Luigi | Super Mario | Mario Bros. | Nintendo | Platformer |
