# Spring Materials Overview (Common Grades) — Chemical Composition Ranges

| Material/Grade | Standard | C (%) | Mn (%) | Si (%) | Cr (%) | Ni (%) | Mo (%) | Notes |
|---|---|---:|---:|---:|---:|---:|---:|---|
| Music Wire (ASTM A228) | ASTM A228 | 0.70–1.00 | 0.20–0.60 | 0.10–0.30 | — | — | — | High-carbon spring wire |
| Hard-Drawn Wire (ASTM A227) | ASTM A227 | 0.45–0.85 | 0.40–0.90 | 0.10–0.30 | — | — | — | General-purpose wire |
| Chrome-Silicon (SAE 9254) | SAE J404 | 0.50–0.60 | 0.70–1.00 | 1.20–1.60 | 0.60–0.80 | — | — | Valve spring steel |
| Chrome-Vanadium (SAE 6150) | SAE J404 | 0.48–0.53 | 0.70–0.90 | 0.15–0.35 | 0.80–1.10 | — | — | Often used for coil/leaf springs |
| Stainless Spring Steel (AISI 302) | ASTM A313 | 0.15 max | 2.00 max | 1.00 max | 17.0–19.0 | 8.0–10.0 | — | Corrosion resistant |
| Phosphor Bronze (C51000) | ASTM B103 | — | — | — | — | — | — | Cu-Sn-P alloy family |
| Beryllium Copper (C17200) | ASTM B194 | — | — | — | — | — | — | Cu-Be alloy family |
| Titanium Grade 5 (Ti-6Al-4V) | ASTM B348 | — | — | — | — | — | — | Aerospace alloy |
| Inconel 718 | AMS 5662 | 0.08 max | 0.35 max | 0.35 max | 17.0–21.0 | 50.0–55.0 | 2.8–3.3 | Nickel superalloy |
| Aluminum 6061 | ASTM B221 | — | — | 0.40–0.80 | 0.04–0.35 | — | — | General Al alloy |
| Magnesium AZ31B | ASTM B90 | — | — | — | — | — | — | Light Mg alloy |
| PEEK (polymer) | — | — | — | — | — | — | — | High-performance thermoplastic |
