# National Football League Coach of the Year Award
> UPI NFL Coach of the Year

| Year | AFC Coach | Team | NFC Coach | Team |
| --- | --- | --- | --- | --- |
| 1997 | discontinued | - | discontinued | - |
| 1996 | Tom Coughlin | Jacksonville Jaguars | Dom Capers | Carolina Panthers |
| 1995 | Marty Schottenheimer | Kansas City Chiefs | Ray Rhodes | Philadelphia Eagles |
| 1994 | Bill Parcells | New England Patriots | Dave Wannstedt | Chicago Bears |
| 1993 | Marv Levy | Buffalo Bills | Dan Reeves | New York Giants |
| 1992 | Bobby Ross | San Diego Chargers | Dennis Green | Minnesota Vikings |
| 1991 | Dan Reeves | Denver Broncos | Wayne Fontes | Detroit Lions |
| 1990 | Art Shell | Los Angeles Raiders | Jimmy Johnson | Dallas Cowboys |
| 1989 | Dan Reeves | Denver Broncos | Lindy Infante | Green Bay Packers |
| 1988 | Marv Levy | Buffalo Bills | Mike Ditka | Chicago Bears |
| 1987 | Ron Meyer | Indianapolis Colts | Jim Mora | New Orleans Saints |
| 1986 | Marty Schottenheimer | Cleveland Browns | Bill Parcells | New York Giants |
| 1985 | Raymond Berry | New England Patriots | Mike Ditka | Chicago Bears |
| 1984 | Chuck Knox | Seattle Seahawks | Bill Walsh | San Francisco 49ers |
| 1983 | Chuck Knox | Seattle Seahawks | John Robinson | Los Angeles Rams |
| 1982 | Tom Flores | Los Angeles Raiders | Joe Gibbs | Washington Redskins |
| 1981 | Forrest Gregg | Cincinnati Bengals | Bill Walsh | San Francisco 49ers |
| 1980 | Sam Rutigliano | Cleveland Browns | Leeman Bennett | Atlanta Falcons |
| 1979 | Sam Rutigliano | Cleveland Browns | Jack Pardee | Washington Redskins |
| 1978 | Walt Michaels | New York Jets | Dick Vermeil | Philadelphia Eagles |
| 1977 | Red Miller | Denver Broncos | Leeman Bennett | Atlanta Falcons |
| 1976 | Chuck Fairbanks | New England Patriots | Jack Pardee | Chicago Bears |
| 1975 | Ted Marchibroda | Baltimore Colts | Tom Landry | Dallas Cowboys |
| 1974 | Sid Gillman | Houston Oilers | Don Coryell | St. Louis Cardinals |
| 1973 | John Ralston | Denver Broncos | Chuck Knox | Los Angeles Rams |
| 1972 | Chuck Noll | Pittsburgh Steelers | Dan Devine | Green Bay Packers |
| 1971 | Don Shula | Miami Dolphins | George Allen | Washington Redskins |
| 1970 | Paul Brown | Cincinnati Bengals | Alex Webster | New York Giants |
| Year | AFL Coach | Team | NFL Coach | Team |
| 1969 | Paul Brown | Cincinnati Bengals | Bud Grant | Minnesota Vikings |
| 1968 | Hank Stram | Kansas City Chiefs | Don Shula | Baltimore Colts |
| 1967 | John Rauch | Oakland Raiders | George Allen | Los Angeles Rams |
| 1966 | Mike Holovak | Boston Patriots | Tom Landry | Dallas Cowboys |
| 1965 | Lou Saban | Buffalo Bills | George Halas | Chicago Bears |
| 1964 | Lou Saban | Buffalo Bills | Don Shula | Baltimore Colts |
| 1963 | Al Davis | Oakland Raiders | George Halas | Chicago Bears |
| 1962 | Jack Faulkner | Denver Broncos | Allie Sherman | New York Giants |
| 1961 | Wally Lemm | Houston Oilers | Allie Sherman | New York Giants |
| 1960 | Lou Rymkus | Houston Oilers | Buck Shaw | Philadelphia Eagles |
| Year |  |  | NFL Coach | Team |
| 1959 |  |  | Vince Lombardi | Green Bay Packers |
| 1958 |  |  | Weeb Ewbank | Baltimore Colts |
| 1957 |  |  | Paul Brown | Cleveland Browns |
| 1956 |  |  | Buddy Parker | Detroit Lions |
| 1955 |  |  | Joe Kuharich | Washington Redskins |
