# Glycemic Index Ranges by Food Group (Qualitative Categories)

| Food Group | Example Food | GI Category | Typical GI Range | Notes |
| --- | --- | --- | --- | --- |
| Fruits | Apple | Low | 0–55 | Most whole fruits fall here |
| Fruits | Watermelon | High | 70+ | Can vary by ripeness |
| Grains | White bread | High | 70+ | Refined grains tend to be higher |
| Grains | Oats (rolled) | Medium | 56–69 | Preparation affects response |
| Dairy | Milk | Low | 0–55 | Lactose contributes to GI |
| Legumes | Lentils | Low | 0–55 | Typically very low GI |
| Snacks | Corn chips | Medium | 56–69 | Brand-dependent |
| Sweets | Jelly beans | High | 70+ | Rapid blood sugar rise |
| Vegetables | Carrots | Low | 0–55 | Often misunderstood as high |
| Tubers | Baked potato | High | 70+ | Cooking method matters |
