# Wine Varietal Chart by Body and Typical Aromas (Quick Style Comparison)

| Category | Wine / Grape Varietal | Typical Aroma & Flavor Descriptors | Body (Light → Full) | Structure Notes (general) |
| --- | --- | --- | --- | --- |
| Red | Gamay (Beaujolais-style) | Strawberry, raspberry, violet, bubblegum, baking spice | Light | Low tannin, bright acidity |
| Red | Grenache (Garnacha) | Red cherry, raspberry, licorice, dried herbs, pepper | Medium | Medium alcohol, moderate tannin |
| Red | Syrah / Shiraz | Blackberry, plum, smoked meat, black pepper, olive | Full | High tannin, medium acidity |
| Red | Malbec | Black plum, blackberry, cocoa, violet, sweet spice | Full | Medium-high tannin, medium acidity |
| Red | Tempranillo | Cherry, leather, tobacco, dried fig, earth | Medium-full | Moderate tannin, medium acidity |
| White | Sauvignon Blanc | Lime, grapefruit, gooseberry, cut grass, passionfruit | Light | High acidity, very crisp |
| White | Pinot Grigio / Pinot Gris | Lemon, pear, apple, white flowers, almond | Light | Light texture, moderate acidity |
| White | Viognier | Apricot, peach, honeysuckle, ginger, floral perfume | Full | Oily texture, lower acidity |
| White | Riesling (dry style) | Lime, green apple, jasmine, slate/mineral, petrol (aged) | Light-medium | High acidity, very aromatic |
| White | Chardonnay (oak-influenced) | Apple, lemon curd, vanilla, butter, toast | Medium-full | Rounder texture, moderate acidity |
