# Prescription Sig Abbreviations for Dosing Schedule and Timing (Medication Context)

| Category | Abbreviation | Meaning on Rx/MAR | Practical dosing interpretation |
| --- | --- | --- | --- |
| Frequency | qd (q.d.) | every day | take once daily (often written as “daily”) |
| Frequency | qod (q.o.d.) | every other day | take on alternating days |
| Frequency | bid (b.i.d.) | twice a day | take 2 doses per day (e.g., morning & evening) |
| Frequency | tid (t.i.d.) | three times a day | take 3 doses per day (often with meals) |
| Frequency | qid (q.i.d.) | four times a day | take 4 doses per day (spaced through the day) |
| Frequency | q4h | every 4 hours | dose every 4 hours around the clock if scheduled |
| Frequency | q6h | every 6 hours | dose every 6 hours (e.g., 6am/12pm/6pm/12am) |
| Frequency | q8h | every 8 hours | dose every 8 hours (3 times/day evenly spaced) |
| Timing | ac (a.c.) | before meals | take shortly before eating |
| Timing | pc (p.c.) | after meals | take shortly after eating |
| Timing | hs (h.s.) | at bedtime | take at night before sleep |
| Timing | qAM | every morning | take each morning |
| Timing | qPM | every evening | take each evening |
| Conditional use | prn | as needed | take only if needed (often with a symptom/limit) |
| Conditional use | prn pain | as needed for pain | take when pain occurs (follow max daily dose) |
