# List of In Living Color episodes
> Episodes

| No. in Series | No. in Season | Air Date | Sketches |
| --- | --- | --- | --- |
| 70 | 1 | 27 September 1992 | " Ross Perot at NAACP Meeting" "Fire Marshal Bill Rebuilds Los Angeles" " Rodney King and Reginald Denny Public Service Announcement " " Edward James Olmos Does Yardwork" "Benita Butrell at the L.A. Riots " |
| 71 | 2 | 4 October 1992 | " Go on Girl with Barbara Bush and Hillary Clinton " "Dueling Psychics" "Snuff and Roam Go To Jail" "Ugly Wanda in Basic Instank " |
| 72 | 3 | 11 October 1992 | " MTV 's Political Coverage" "Cousin Elsee at the Wake" " Woody Allen for Date the Children" Whitney Houston: " Get Your Babies Tonight " (cut from DVD) "Mr. and Mrs. Brooks" Gang Starr closes the show |
| 73 | 4 | 18 October 1992 | Vanessa Williams: " You Can All Just Kiss My Ass " (cut from DVD) "The Tonight Show with Jay Leno : Sinéad O'Connor Protesting" "Beauty Tips with Lori Davis" " George Hamilton Brand Luggage and Belts" "Black Peoples Awards" A.D.O.R. closes the show |
| 74 | 5 | 25 October 1992 | "Trail Mix-a-Lot" in "Baby Got Snacks" (cut from DVD) "Lonnie the Childish Adult" "Super Bimbo" " Def Jam Comedy Hour: Audience Reactions" "Juice Mania" Musical guest Grand Puba closes the show |
| 75 | 6 | 1 November 1992 | Bill Clinton in "Humpin' Around" (cut from DVD) "The Head Detective" "Ice Poe: At The Airport " "Sue Goober: 007 Bond Girl Audition" (cut from DVD) "Anton at Comic Relief " |
| 76 | 7 | 8 November 1992 | Shabba Ranks in "Mr. Ugly Man" (cut from DVD) "The Dysfunctional Home Show: How to Cook Pork and Beans" "Snuff & Roam: Nightclubbing" "Homey D. Clown: Homey's Son" Close Featuring Wreckx-N-Effect |
| 77 | 8 | 15 November 1992 | " Saturday Night Live' s Chris Rock and Garrett Morris for Anonymous Express" (includes Molly Shannon cameo) "Ugly Woman: Wanda Meets Luther the Ugly Man" "Loomis Simmons: Make Me Rich!" "Handi-Man Loses His Powers" Close Featuring Pete Rock and C.L. Smooth |
| 78 | 9 | 22 November 1992 | " Prince of Munchkin Land" (cut from DVD) "Mr. & Mrs. Brooks: Thanksgiving Dinner" "Candy Cane's Puppet Show " "Men on Cooking" Close Featuring Mary J. Blige |
| 79 | 10 | 13 December 1992 | Madonna in "Neurotica" (cut from DVD) "Gays in the Military" (cut from DVD) "Lil' Magic: Working Girl" "Edwin O. Fay's Skin-Lightening Treatment (a.k.a "Your Face is Your Passport")" "Dracula Meets Ugly Wanda" |
| 80 | 11 | 20 December 1992 | " Driving Miss Schott " "An Ice Poe Christmas" "Benita Butrell: Holiday Volunteer" "Cephus and Reesie: Tunes for Tots" "Why?: Black Eyewitnesses in the News" "Al MacAfee: How MacAfee Stole Christmas" Christmas Close: Jamie Foxx sings This Christmas (cut from DVD) |
| 81 | 12 | 3 January 1993 | "Vera DeMilo and Little Richard : The Stank of a Woman" (cut from DVD) " The Bodyguard with Grace Jones" (cut from DVD) "Cousin Elsee: At the Hospital " "Why: Rap Music Used for Commercials " "The Dysfunctional Home Show: Belated Christmas Special" "Mr. & Mrs. Brooks Second Honeymoon" Close Featuring Digable Planets |
| 82 | 13 | 17 January 1993 | "The Capitol Hillbillies" (spoof of The Beverly Hillbillies ) "Benita Butrell: Physician's Office" "Amy Fisher's 'Bang for Your Buck' Seminar" "Tales from the Crib" " Ross Perot Buys Up Airtime" "You Bet Your Career" Close Featuring Father MC |
| 83 | 14 | 6 February 1993 | " La Toya Jackson : Michael Unwrapped" " Home Alone Again with Michael Jackson " " Michael Jackson Potato Head " " Family Feud 's The Royal Family and The Jacksons " Close Featuring Another Bad Creation |
| 84 | 15 | 7 February 1993 | "Alive II: with Richard Simmons " "Loomis Simmons' The Power Stretch" "The Info Group" "What If Bob Hope was Black?" "Sgt. Stacey Koon on COPS " "Men on Fitness" (with guest Damon Wayans , former cast member) |
| 85 | 16 | 11 February 1993 | " Bill Cosby 's Condom Commercial" "Homey D. Clown's Parole Romance" "Ejector Bed" "Velma on a Blind Date" "Ugly Woman's One Night Stand" |
| 86 | 17 | 14 February 1993 | "Oswald: Booked on Phonics" "Forever Silky" "Lashawn: Dry Cleaners" (with guest star Sherman Hemsley as "Mr. Jefferson") "Reality Check: Singing to Aretha Franklin " (cut from DVD) "Fire Marshall Bill: Teppanyaki Restaurant Safety" Close Featuring Arrested Development |
| 87 | 18 | 21 February 1993 | " Joe Jackson : Lock You in the Closet " (cut from DVD) "Suzanne Sommers for Thighmaster" "Calhoun Tubbs: Prison Performance" "Little Richard in: Dirty Little Dick " " Geraldo Rivera : The Black Child Star Mill" " Rodney Dangerfield Gets Pulled Over" "Mr. & Mrs. Brooks: Garage Sale" |
| 88 | 19 | 25 February 1993 | "Men on Film Festival" "Rise to Stardom" "Cliff Hanger" "Sponsors" "Ratings" |
| 89 | 20 | 28 February 1993 | "Boyz II Wimps: End of the Road" (cut from DVD) " Jackée Harry in Passenger 227 " "Background Guy at the White House " "The Dysfunctional Home Show: Wedding" "Ugly Woman: The Fifth En Vogue Member" (cut from DVD) |
