# Motorola Zine
> ZN5

| Type | Specification |
| --- | --- |
| Battery life | Talk: 9.5 hours; standby: 580 hours |
| Phone book capacity | 2000 entries |
| Video capture | .MOV 176*144 @15-20 frames |
| Email client | Protocols supported: POP3, IMAP4, SMTP |
| EMS / Picture messaging | EMS 5.0 |
| Java ME | Version: MIDP 2.0 |
| Predictive text entry | Technology: iTAP |
| Text messaging | 2-Way |
| Voice dialing | speaker-independent |
| Wireless Internet | WAP 2.0, xHTML, HTML |
| Alarm | Yes |
| Calculator | Yes |
| Calendar | Yes |
| Custom graphics | Yes |
| Data-capable | Yes |
| Digital TTY/TDD | Yes |
| Games | Yes |
| MMS | Yes |
| Multiple languages | Yes |
| Multiple numbers per name | Yes |
| PC sync | Yes |
| Picture ID | Yes |
| Polyphonic ringtones | Yes |
| Ringer ID | Yes |
| Side keys | Yes |
| Speaker phone | Yes |
| Text messaging templates | Yes |
| Fm radio | Yes |
| Vibrate | Yes |
| Voice memo | Yes |
