# Daylight Saving Time (DST) schedule by country territory (selected examples)

| Country/Territory | Region | DST Observed? | DST Start (typical rule) | DST End (typical rule) | Notes |
|---|---|---|---|---|---|
| United States | North America | Yes | Second Sunday in March | First Sunday in November | Most states; exceptions exist |
| Canada | North America | Yes | Second Sunday in March | First Sunday in November | Many provinces align with U.S. |
| Mexico | North America | Partial | First Sunday in April (most areas) | Last Sunday in October (most areas) | Some border areas may differ |
| Brazil | South America | No | — | — | Nationwide DST discontinued |
| Chile | South America | Yes | First Sunday in September | First Sunday in April | Rules can change by decree |
| United Kingdom | Europe | Yes | Last Sunday in March | Last Sunday in October | Known as British Summer Time |
| South Africa | Africa | No | — | — | No seasonal clock change |
| Australia | Oceania | Partial | First Sunday in October (observing states) | First Sunday in April (observing states) | Not observed in all states/territories |
| New Zealand | Oceania | Yes | Last Sunday in September | First Sunday in April | Nationwide |
| Japan | Asia | No | — | — | No DST |
| India | Asia | No | — | — | No DST |
