# IUPAC nomenclature of organic chemistry
> Order of precedence of groups

| Priority | Functional group | Formula | Prefix | Suffix |
| --- | --- | --- | --- | --- |
| 1 | Cations e.g. Ammonium | NH 4 + | -onio- ammonio- | -onium -ammonium |
| 2 | Carboxylic acids Carbothioic S -acids Carboselenoic Se -acids Sulfonic acids Sulfinic acids | –COOH –COSH –COSeH –SO 3 H –SO 2 H | carboxy- sulfanylcarbonyl- selanylcarbonyl- sulfo- sulfino- | -oic acid* -thioic S -acid* -selenoic Se -acid* -sulfonic acid -sulfinic acid |
| 3 | Carboxylic acid derivatives Esters Acyl halides Amides Imides Amidines | –COOR –COX –CONH 2 –CON=C< –C(=NH)NH 2 | R-oxycarbonyl- halocarbonyl- carbamoyl- -imido- amidino- | -R-oate -oyl halide* -amide* -imide* -amidine* |
| 4 | Nitriles Isocyanides | –CN –NC | cyano- isocyano- | -nitrile* isocyanide |
| 5 | Aldehydes Thioaldehydes | –CHO –CHS | formyl- thioformyl- | -al* -thial* |
| 6 | Ketones Thiones Selones Tellones | =O =S =Se =Te | oxo- sulfanylidene- selanylidene- tellanylidene- | -one -thione -selone -tellone |
| 7 | Alcohols Thiols Selenols Tellurols | –OH –SH –SeH –TeH | hydroxy- sulfanyl- selanyl- tellanyl- | -ol -thiol -selenol -tellurol |
| 8 | Hydroperoxides Peroxols Thioperoxols ( Sulfenic acid ) Dithioperoxols | -OOH -SOH -SSH | hydroperoxy- hydroxysulfanyl- disulfanyl- | -peroxol - SO -thioperoxol -dithioperoxol |
| 9 | Amines Imines Hydrazines | –NH 2 =NH –NHNH 2 | amino- imino- hydrazino- | -amine -imine -hydrazine |
