# Top Economics-Friendly Employers Ranked by Brand Strength (2024)

| Rank | Company | Industry | HQ Location | CEO | Careers Page |
|---:|---|---|---|---|---|
| 1 | McKinsey & Company | Management Consulting | New York, NY | Bob Sternfels | https://www.mckinsey.com/careers |
| 2 | Goldman Sachs | Investment Banking | New York, NY | David Solomon | https://www.goldmansachs.com/careers/ |
| 3 | Amazon | Technology/Retail | Seattle, WA | Andy Jassy | https://www.amazon.jobs |
| 4 | JPMorgan Chase | Banking | New York, NY | Jamie Dimon | https://careers.jpmorgan.com |
| 5 | World Bank Group | International Development | Washington, DC | Ajay Banga | https://www.worldbank.org/en/about/careers |
| 6 | Deloitte | Professional Services | New York, NY | Joe Ucuzoglu | https://www2.deloitte.com/us/en/careers.html |
| 7 | BlackRock | Asset Management | New York, NY | Larry Fink | https://careers.blackrock.com |
| 8 | United Nations | Multilateral | New York, NY | António Guterres | https://careers.un.org |
| 9 | Federal Reserve System | Public Sector | Washington, DC | Jerome Powell | https://www.federalreserve.gov/careers.htm |
| 10 | KPMG | Professional Services | New York, NY | Paul Knopp | https://kpmg.com/us/en/home/careers.html |
