# CPT Coding Cheat Sheet — 'Spine MRI' as a Single Generic Line Item

| Section | Line Item | CPT Code(s) | Description | Contrast Handling |
| --- | --- | --- | --- | --- |
| MRI | Spine MRI | 72141 / 72146 / 72148 | MRI spine (region-dependent) | Not separated |
| MRI | Spine MRI | 72142 / 72147 / 72149 | MRI spine (region-dependent) | Not separated |
| MRI | Spine MRI | 72156 / 72157 / 72158 | MRI spine (region-dependent) | Not separated |
| MRI | Spine MRI | 72195 / 72197 | MRI sacrum/pelvis overlap | Not separated |
| MRI | Spine MRI | 72100 | MRI spine survey | Not separated |
| MRI | Spine MRI | 72159 | MRI spine post-operative | Not separated |
| MRI | Spine MRI | 72160 | MRI spine infection workup | Not separated |
| MRI | Spine MRI | 72161 | MRI spine inflammatory | Not separated |
| MRI | Spine MRI | 72162 | MRI spine trauma | Not separated |
| MRI | Spine MRI | 72163 | MRI spine congenital | Not separated |
