# US Seat Belt Requirements — Seating Position Rules and Exceptions by State

| State | Front Seat Requirement | Rear Seat Requirement | Pickup Truck Exception | Notes |
|---|---|---|---|---|
| Alabama | Required | Required for minors only | Limited | Rear-seat adult rules vary |
| Arizona | Required | Not universally required | Yes | Child provisions separate |
| Colorado | Required | Required for minors only | Yes | Applies on public highways |
| Idaho | Required | Not universally required | Yes | Agricultural use sometimes treated differently |
| Indiana | Required | Required for minors only | Limited | School transportation handled separately |
| Kansas | Required | Not universally required | Yes | Rear-seat adult requirement not general |
| Kentucky | Required | Required for minors only | Limited | Applies to passenger cars and vans |
| Mississippi | Required | Not universally required | Yes | Exceptions for certain work vehicles |
| Missouri | Required | Required for minors only | Limited | Rural enforcement practices vary |
| Montana | Required | Not universally required | Yes | Local rules may supplement |
