# Central Bank Key Policy Rates by Country (Policy Benchmark Only)

| Country | Central bank | Key policy/benchmark rate | Rate level (%) | Notes |
|---|---|---|---:|---|
| Switzerland | Swiss National Bank (SNB) | SNB policy rate | 1.75 | Single headline policy rate |
| Sweden | Sveriges Riksbank | Policy rate (repo rate) | 4.00 | Main benchmark rate |
| Norway | Norges Bank | Key policy rate | 4.50 | Policy rate used for monetary stance |
| New Zealand | Reserve Bank of New Zealand (RBNZ) | Official Cash Rate (OCR) | 5.50 | Benchmark cash rate |
| Mexico | Banco de México (Banxico) | Target for the overnight interbank rate | 11.25 | Main policy target |
| South Korea | Bank of Korea (BOK) | Base rate | 3.50 | Headline policy rate |
| Indonesia | Bank Indonesia (BI) | BI 7-Day Reverse Repo Rate | 6.00 | Primary policy rate |
| Turkey | Central Bank of the Republic of Türkiye (CBRT) | One-week repo rate | 45.00 | Main policy rate |
| Saudi Arabia | Saudi Central Bank (SAMA) | Repo rate | 6.00 | Central-bank-set benchmark |
| Singapore | Monetary Authority of Singapore (MAS) | Policy band for S$NEER (no single interest rate) | N/A | Included as exception: framework is exchange-rate based |
