# Gaelic Athletic Association Club Names (Irish and English Forms)

| Club Name (Irish) | Club Name (English) | County/Region | Sport | Home Ground |
| --- | --- | --- | --- | --- |
| Cumann Lúthchleas Gael Naomh Pádraig | St. Patrick's GAA | London | Football | Greenford |
| Cumann Peile Naomh Bríd | St. Brigid's | Manchester | Football | Ardwick |
| Cumann Iománaíochta Na Róise | Rosse Hurling Club | Birmingham | Hurling | Perry Barr |
| Na Gael Óga | Young Gaels | Liverpool | Football | Wavertree |
| Cumann Naomh Columba | St. Columba's | Glasgow | Football | Clydebank |
| Cumann Lúthchleas Gael An Chláir | Clare Gaels | Edinburgh | Football | Sighthill |
| Naomh Eoin CLG | St. John's GAA | Leeds | Football | Headingley |
| Tír Eoghain Naomh Pól | Tyrone St. Paul's | Coventry | Football | Bell Green |
| Cumann Lúthchleas Gael Uí Néill | O'Neill's GAA | Nottingham | Football | Mapperley |
| Cumann Naomh Mhuire | St. Mary's | Sheffield | Football | Hillsborough |
