# MLB One-Hitters by Pitcher (Selected Pitchers, with Game Count and Win–Loss)

| Pitcher | One-Hitters (Matching Games) | Record in One-Hitters | Team(s) During One-Hitters | Most Recent One-Hitter (Year) | Notes |
|---|---:|---|---|---:|---|
| Nolan Ryan | 13 | 12–1 | CAL, HOU, TEX | 1991 | Highest total among listed pitchers |
| Bob Gibson | 9 | 8–1 | STL | 1972 | Multiple 1–0 type outcomes |
| Warren Spahn | 7 | 7–0 | BOS/MIL | 1963 | Consistent complete-game performances |
| Tom Seaver | 5 | 5–0 | NYM, CIN | 1981 | Mix of high-K and low-hit games |
| Justin Verlander | 5 | 5–0 | DET, HOU | 2019 | Several came with double-digit strikeouts |
| Max Scherzer | 3 | 3–0 | WSH, NYM | 2022 | Known for near no-hitters and high K totals |
| Clayton Kershaw | 3 | 3–0 | LAD | 2014 | One-hitter with very high strikeout count |
| Pedro Martinez | 2 | 2–0 | BOS | 2002 | Dominant efficiency; few baserunners |
| Roy Halladay | 2 | 2–0 | TOR, PHI | 2010 | Noted for deep outings and low walks |
| Madison Bumgarner | 2 | 2–0 | SF, ARI | 2021 | Includes a shortened-game one-hitter context |
| Jacob deGrom | 1 | 1–0 | NYM | 2018 | Hard-throwing one-hitter |
| David Cone | 1 | 1–0 | NYY | 1996 | Separate from his perfect game |
