# New York Statute of Limitations for Contract and Debt (Single-State Reference)

| Claim category (NY) | Limitation period (years) | Statute reference | Practical example |
|---|---:|---|---|
| Written contract (general) | 6 | N.Y. CPLR § 213(2) | Unpaid invoice under signed agreement |
| Oral contract (general) | 6 | N.Y. CPLR § 213(2) | Verbal service agreement dispute |
| Open account | 6 | N.Y. CPLR § 213(2) | Revolving account balance |
| Promissory note | 6 | N.Y. UCC / CPLR (varies) | Note repayment action |
| Credit card debt | 6 | Commonly cited | Consumer card collection |
| Judgment enforcement | 20 | CPLR Article 2/5 | Enforcing a money judgment |
| Fraud (contract-related) | 6 | CPLR § 213(8) | Misrepresentation in deal |
| Account stated | 6 | Common law | Statement of account accepted |
| Rent arrears | 6 | CPLR § 213(2) | Back rent collection |
