# Surrey County Council — Term Dates (Authority) with Individual School Break Exceptions

| Level | Name | Term / Holiday | Start Date | End Date | Exception Type |
| --- | --- | --- | --- | --- | --- |
| Local authority | Surrey (area-wide) | Autumn Term | 2024-09-02 | 2024-10-25 | null |
| Local authority | Surrey (area-wide) | Autumn Half Term | 2024-10-28 | 2024-11-01 | null |
| Individual school | Reigate Grammar School | Autumn Half Term | 2024-10-21 | 2024-10-25 | Different week |
| Individual school | Guildford High School | Autumn Term | 2024-09-04 | 2024-10-18 | Shorter term |
| Local authority | Surrey (area-wide) | Christmas Holiday | 2024-12-23 | 2025-01-03 | null |
| Individual school | Epsom College | Christmas Holiday | 2024-12-14 | 2025-01-07 | Extended break |
| Local authority | Surrey (area-wide) | Spring Half Term | 2025-02-17 | 2025-02-21 | null |
| Individual school | The Royal School, Haslemere | Spring Half Term | 2025-02-10 | 2025-02-14 | Different week |
| Local authority | Surrey (area-wide) | Summer Holiday | 2025-07-21 | 2025-09-01 | null |
