# Canon EOS 5D Mark II
> Firmware updates

| Release Date | Firmware | Fixes |
| --- | --- | --- |
| 2009-01-07 [42] | 1.0.7 | Early buyers of the camera reported black pixels appearing in high contrast situations. [43] In late 2008, Canon officially acknowledged that there was an issue with black dots and vertical banding noise in certain circumstances. [44] |
| 2009-06-02 | 1.1.0 | Originally, the camera lacked manual control when filming video. On 2 June 2009 version 1.1.0 of the firmware was released which provided control over aperture, shutter speed and ISO while recording video. [45] |
| 2009-12-17 | 1.2.4 | Supports the WFT-E4 II wireless file transmitter and to correct an issue where visible noise may appear in photos taken in continuous Bulb shooting. [46] |
| 2010-03-16 | 2.0.3 | Supports 1080p at NTSC 29.97 frame/s, 1080p at PAL 25.00 frame/s and 1080p at cinematography 23.976 frame/s. It also added a function for manually adjusting the sound recording level (64 levels), a histogram display (brightness or RGB) for shooting movies in manual exposure, shutter-priority AE mode (TV) and aperture-priority AE (Av) mode to the exposure modes for shooting movies and changed the audio sampling frequency from 44.1 kHz to 48 kHz. On 17 March 2010 the firmware was found to have some bugs with the audio functions and thus retired. [47] [48] |
| 2010-03-19 | 2.0.4 | Fixes the 2.0.3 bugs, and add 24p framerate and manual audio recording. [49] [50] |
| 2010-10-19 | 2.0.8 | Solves several issues related to the camera operations under specific circumstances. |
| 2011-05-30 | 2.0.9 | This update improves performance with certain UDMA cards and solved other issues. |
| 2011-11-14 | 2.1.1 | Fixes a phenomenon where shooting stops after capturing one image when in continuous shooting mode or auto exposure bracketing (AEB) continuous mode. It also corrects wording in the Dutch language menu screen. |
| 2012-02-29 | 2.1.2 | This update optimizes the camera’s performance when using certain UDMA 7-compatible CF cards released in February 2012 or later. |
