# Selectivity Comparison  Ivy League and Peer Universities (Overall Only)

| School | Group | Overall Acceptance Rate | Location | Application Plan Mentioned | Year |
| --- | --- | --- | --- | --- | --- |
| Harvard University | Ivy League | 3.6% | MA | REA available | 2024 |
| Yale University | Ivy League | 4.4% | CT | REA available | 2024 |
| Princeton University | Ivy League | 4.5% | NJ | REA available | 2024 |
| Columbia University | Ivy League | 3.9% | NY | ED available | 2024 |
| Brown University | Ivy League | 5.2% | RI | ED available | 2024 |
| Cornell University | Ivy League | 7.5% | NY | ED available | 2024 |
| Dartmouth College | Ivy League | 5.3% | NH | ED available | 2024 |
| University of Pennsylvania | Ivy League | 5.9% | PA | ED available | 2024 |
| Stanford University | Peer | 3.7% | CA | REA/EA policy varies | 2024 |
| Duke University | Peer | 6.0% | NC | ED available | 2024 |
