# List of highest - grossing films in Singapore
> Top - grossing films in 2003

| Rank | Title | Studio | Gross | Language |
| --- | --- | --- | --- | --- |
| 1 | The Lord of the Rings: The Return of the King | New Line Cinema | $4.45m | English |
| 2 | Finding Nemo | Walt Disney Pictures | $4.21m | English |
| 3 | X2 | 20th Century Fox | $3.82m | English |
| 4 | The Matrix Reloaded | Warner Brothers | $3.81m | English |
| 5 | Shanghai Knights | Buena Vista Pictures | $3.004m | English |
| 6 | The Matrix Revolutions | Warner Brothers | $3.00m | English |
| 7 | Bruce Almighty | Universal Studios | $2.94m | English |
| 8 | Charlie's Angels: Full Throttle | Sony Pictures Entertainment | $2.39m | English |
| 9 | Terminator 3: Rise of the Machines | Warner Brothers | $2.37m | English |
| 10 | Homerun | Raintree Pictures | $2.35m | Chinese |
