# Adobe Experience Cloud & Document Cloud Products (Catalog View)

| Product name | Cloud family | Latest major version (as listed) | Available in (bundle/offering) | Typical users |
| --- | --- | --- | --- | --- |
| Adobe Experience Manager (AEM) Sites | Experience Cloud | 2024 | Experience Cloud (enterprise subscription) | Web teams, enterprises |
| Adobe Experience Manager (AEM) Assets | Experience Cloud | 2024 | Experience Cloud (enterprise subscription) | DAM teams, content ops |
| Adobe Analytics | Experience Cloud | 2024 | Experience Cloud (enterprise subscription) | Analysts, marketing teams |
| Adobe Journey Optimizer | Experience Cloud | 2024 | Experience Cloud (enterprise subscription) | Lifecycle marketing teams |
| Adobe Real-Time CDP | Experience Cloud | 2024 | Experience Cloud (enterprise subscription) | Data/marketing ops |
| Adobe Target | Experience Cloud | 2024 | Experience Cloud (enterprise subscription) | Personalization, experimentation |
| Adobe Campaign | Experience Cloud | v8 | Experience Cloud (enterprise subscription) | Email & campaign teams |
| Adobe Marketo Engage | Experience Cloud | 2024 | Adobe Experience Cloud (B2B offering) | B2B marketers |
| Adobe Commerce (Magento) | Experience Cloud | 2.4 | Adobe Commerce subscription | E-commerce teams |
| Adobe Workfront | Experience Cloud | 2024 | Workfront subscription (often bundled) | Project/portfolio management |
| Adobe Acrobat Sign | Document Cloud | 2024 | Document Cloud / Acrobat plans | E-signature workflows |
| Adobe Acrobat Services (PDF Services API) | Document Cloud | 2024 | Adobe Developer / Document Cloud | Developers, automation teams |
