# Rice Bran Oil  Fatty Acid Composition with Quality Indices and Minor Components

| Parameter | Crude rice bran oil | Refined rice bran oil |
|---|---:|---:|
| Palmitic acid (C16:0) (%) | 14.0 | 15.0 |
| Oleic acid (C18:1) (%) | 42.0 | 43.0 |
| Linoleic acid (C18:2) (%) | 39.0 | 38.0 |
| Stearic acid (C18:0) (%) | 1.8 | 2.0 |
| Free fatty acids (% as oleic) | 5.0 | 0.2 |
| Peroxide value (meq O2/kg) | 10 | 2 |
| Iodine value (g I2/100g) | 95 | 102 |
| Unsaponifiable matter (%) | 3.5 | 3.2 |
| Oryzanol (mg/100g) | 1200 | 800 |
