# List of SSRIs (Selective Serotonin Reuptake Inhibitors) with Brand Generic Pairs

| Drug class | Brand name | Generic name |
|---|---|---|
| SSRI antidepressant | Prozac | fluoxetine |
| SSRI antidepressant | Sarafem | fluoxetine |
| SSRI antidepressant | Zoloft | sertraline |
| SSRI antidepressant | Paxil | paroxetine |
| SSRI antidepressant | Pexeva | paroxetine |
| SSRI antidepressant | Celexa | citalopram |
| SSRI antidepressant | Lexapro | escitalopram |
| SSRI antidepressant | Luvox | fluvoxamine |
| SSRI antidepressant | Brisdelle | paroxetine |
| SSRI antidepressant | Lustral | sertraline |
