# BBC Sports Personality of the Year Awards - Categories and Inception Years

| Award category | Created | Notes |
| --- | --- | --- |
| BBC Sports Personality of the Year (main award) | 1954 | Annual UK public vote |
| BBC Overseas Sports Personality of the Year | 1960 | For non-UK athletes |
| BBC Team of the Year | 1960 | Team honor |
| BBC Coach of the Year | 1999 | Coaching recognition |
| BBC Lifetime Achievement Award | 1996 | Career recognition |
| BBC Helen Rollason Award | 1999 | Courage/achievement |
| BBC Young Sports Personality of the Year | 1999 | Youth honor |
| BBC Unsung Hero Award | 2003 | Grassroots recognition |
| BBC Sports Personality World Sport Star of the Year | 2019 | Rebranded global award |
