# Top Employers in Travis County, Texas — Payroll and Revenue Overview (No Employee Counts)

| Rank | Employer | Sector | Annual Payroll (USD) | Estimated Local Revenue (USD) |
|---:|---|---|---:|---:|
| 1 | University of Texas System (Austin-area) | Higher Education | 2.4B | 6.8B |
| 2 | State of Texas (Austin offices) | Government | 1.9B | 3.1B |
| 3 | Ascension Seton | Healthcare | 1.1B | 2.6B |
| 4 | Dell Technologies (Austin-area) | Technology | 980M | 5.4B |
| 5 | Austin Independent School District | Education | 720M | 1.2B |
| 6 | City of Austin | Government | 650M | 1.0B |
| 7 | Tesla (Austin-area) | Manufacturing | 610M | 4.9B |
| 8 | St. David's HealthCare | Healthcare | 540M | 1.8B |
| 9 | Whole Foods Market (HQ) | Retail | 410M | 2.1B |
| 10 | Samsung Austin Semiconductor | Manufacturing | 390M | 3.7B |
