# USPS Priority Mail Flat Rate Packaging  Commercial Base Prices Only (No Retail Post Office)

| Flat Rate Packaging | Commercial Base Price | Typical Use |
|---|---:|---|
| Small Flat Rate Envelope | $5.75 | Documents and small items |
| Legal Flat Rate Envelope | $5.75 | Legal documents |
| Padded Flat Rate Envelope | $6.10 | Clothing, padded items |
| Small Flat Rate Box | $6.10 | Small parts |
| Medium Flat Rate Box (Top-Loading) | $11.95 | Household items |
| Medium Flat Rate Box (Side-Loading) | $11.95 | Longer items |
| Large Flat Rate Box | $16.35 | Larger, heavier contents |
| Large Flat Rate Board Game Box | $16.35 | Board games |
| APO/FPO/DPO Flat Rate Box | $14.35 | Military/Diplomatic shipments |
