# U.S. Supreme Court Justices — Service Timeline and Seats (No Nominating President Listed)

| Seat | Justice | Role | Start Year | End Year | Appointing Party |
|---|---|---|---:|---:|---|
| 1 | John G. Roberts Jr. | Chief Justice | 2005 | Incumbent | Republican |
| 2 | Clarence Thomas | Associate Justice | 1991 | Incumbent | Republican |
| 3 | Samuel A. Alito Jr. | Associate Justice | 2006 | Incumbent | Republican |
| 4 | Sonia Sotomayor | Associate Justice | 2009 | Incumbent | Democratic |
| 5 | Elena Kagan | Associate Justice | 2010 | Incumbent | Democratic |
| 6 | Neil M. Gorsuch | Associate Justice | 2017 | Incumbent | Republican |
| 7 | Brett M. Kavanaugh | Associate Justice | 2018 | Incumbent | Republican |
| 8 | Amy Coney Barrett | Associate Justice | 2020 | Incumbent | Republican |
| 9 | Ketanji Brown Jackson | Associate Justice | 2022 | Incumbent | Democratic |
