# Three - Point Contest
> All - time participants

| Season | Players |
| --- | --- |
| 1985–86 | Larry Bird , Dale Ellis , Sleepy Floyd , Craig Hodges , Norm Nixon , Kyle Macy , Trent Tucker , Leon Wood |
| 1986–87 | Danny Ainge , Larry Bird (2), Michael Cooper , Dale Ellis (2), Craig Hodges (2), Detlef Schrempf , Byron Scott , Kiki Vandeweghe |
| 1987–88 | Danny Ainge (2), Larry Bird (3), Dale Ellis (3), Craig Hodges (3), Mark Price , Detlef Schrempf (2), Byron Scott (2), Trent Tucker (2) |
| 1988–89 | Michael Adams , Danny Ainge (3), Dale Ellis (4), Derek Harper , Gerald Henderson , Craig Hodges (4), Rimas Kurtinaitis , Reggie Miller , Jon Sundvold |
| 1989–90 | Larry Bird (4), Craig Ehlo , Bobby Hansen , Craig Hodges (5), Michael Jordan , Reggie Miller (2), Mark Price (2), Jon Sundvold (2) |
| 1990–91 | Danny Ainge (4), Clyde Drexler , Tim Hardaway , Hersey Hawkins , Craig Hodges (6), Terry Porter , Glen Rice , Dennis Scott |
| 1991–92 | Dell Curry , Craig Ehlo (2), Craig Hodges (7), Jeff Hornacek , Jim Les , Dražen Petrović , Mitch Richmond , John Stockton |
| 1992–93 | B. J. Armstrong , Dana Barros , Craig Hodges (8), Dan Majerle , Reggie Miller (3), Terry Porter (2), Mark Price (3), Kenny Smith |
| 1993–94 | B. J. Armstrong (2), Dana Barros (2), Dell Curry (2), Dale Ellis (5), Steve Kerr , Eric Murdock , Mark Price (4), Mitch Richmond (2) |
| 1994–95 | Nick Anderson , Dana Barros (3), Scott Burrell , Steve Kerr (2), Dan Majerle (2), Reggie Miller (4), Chuck Person , Glen Rice (2) |
| 1995–96 | Dana Barros (4), Hubert Davis , Steve Kerr (3), Tim Legler , George McCloud , Glen Rice (3), Dennis Scott (2), Clifford R. Robinson |
| 1996–97 | Dale Ellis (6), Steve Kerr (4), Tim Legler (2), Terry Mills , Sam Perkins , Glen Rice (4), John Stockton (2), Walt Williams |
| 1997–98 | Hubert Davis (2), Dale Ellis (7), Jeff Hornacek (2), Sam Mack , Reggie Miller (5), Tracy Murray , Glen Rice (5), Charlie Ward |
| 1998–99 [a] | Cancelled due to the 1998-99 NBA lockout |
| 1999–00 | Ray Allen , Mike Bibby , Hubert Davis (3), Jeff Hornacek (3), Allen Iverson , Dirk Nowitzki , Terry Porter (3), Bob Sura |
| 2000–01 | Ray Allen (2), Pat Garrity , Allan Houston , Rashard Lewis , Dirk Nowitzki (2), Steve Nash , Bryon Russell , Peja Stojaković |
| 2001–02 | Ray Allen (3), Wesley Person , Mike Miller , Steve Nash (2), Paul Pierce , Quentin Richardson , Steve Smith , Peja Stojaković (2) |
| 2002–03 | Brent Barry , Pat Garrity (2), Wesley Person (2), Peja Stojaković (3), Antoine Walker , David Wesley |
| 2003–04 | Chauncey Billups , Kyle Korver , Voshon Lenard , Rashard Lewis (2), Cuttino Mobley , Peja Stojaković (4) |
| 2004–05 | Ray Allen (4), Joe Johnson , Voshon Lenard (2), Kyle Korver (2), Vladimir Radmanović , Quentin Richardson (2) |
| 2005–06 | Gilbert Arenas , Ray Allen (5), Chauncey Billups (2), Dirk Nowitzki (3), Quentin Richardson (3), Jason Terry |
| 2006–07 | Gilbert Arenas (2), Damon Jones , Jason Kapono , Mike Miller (2), Dirk Nowitzki (4), Jason Terry (2) |
| 2007–08 | Daniel Gibson , Richard Hamilton , Jason Kapono (2), Steve Nash (3), Dirk Nowitzki (5), Peja Stojaković (5) |
| 2008–09 | Mike Bibby (2), Daequan Cook , Danny Granger , Jason Kapono (3), Rashard Lewis (3), Roger Mason |
| 2009–10 | Chauncey Billups (3), Daequan Cook (2), Stephen Curry , Channing Frye , Danilo Gallinari , Paul Pierce (2) |
| 2010–11 | Ray Allen (6), Kevin Durant , Daniel Gibson (2), James Jones , Paul Pierce (3), Dorell Wright |
| 2011–12 | Ryan Anderson , Mario Chalmers , James Jones (2), Anthony Morrow , Kevin Love , Kevin Durant (2) |
| 2012–13 | Ryan Anderson (2), Matt Bonner , Stephen Curry (2), Paul George , Kyrie Irving , Steve Novak |
| 2013–14 | Arron Afflalo , Bradley Beal , Marco Belinelli , Stephen Curry (3), Kyrie Irving (2), Joe Johnson (2), Damian Lillard , Kevin Love (2) |
| 2014–15 | Marco Belinelli (2), Stephen Curry (4), James Harden , Kyrie Irving (3), Kyle Korver (3), Wesley Matthews , J.J. Redick , Klay Thompson |
| 2015–16 | Devin Booker , Stephen Curry (5), James Harden (2), Kyle Lowry , Khris Middleton , J.J. Redick (2), Klay Thompson (2), C.J. McCollum [d] |
