# Top CD APYs by Fixed Term (U.S. Banks, Term Explicit)

| CD Term | Bank / Institution | CD Type | APY | Minimum Opening Deposit | Notes |
| --- | --- | --- | --- | --- | --- |
| 3 months | Quontic Bank (FDIC) | Standard CD | 4.10% | $500 | Fixed-rate CD |
| 6 months | First Internet Bank (FDIC) | Regular CD | 4.30% | $1,000 | Online application |
| 12 months | Bread Financial (FDIC) | Bread Savings CD | 4.65% | $1,500 | Interest compounded daily |
| 12 months | Sallie Mae Bank (FDIC) | SmartyPig CD | 4.60% | $0 | No minimum for some channels |
| 15 months | Synchrony Bank (FDIC) | Special CD | 4.70% | $0 | Promotional term |
| 18 months | Marcus by Goldman Sachs (FDIC) | High-Yield CD | 4.40% | $500 | Fixed term, fixed rate |
| 24 months | Discover Bank (FDIC) | CD | 4.20% | $2,500 | Term explicitly stated |
| 30 months | MySavingsDirect (FDIC) | CD | 4.05% | $1,000 | Non-standard term |
| 36 months | Capital One (FDIC) | 360 CD | 4.00% | $0 | Fixed-rate CD |
| 60 months | Barclays (FDIC) | Online CD | 3.80% | $0 | Long-term option |
