# Byzantine Empresses and Augustae Register (7th–11th centuries)

| Name | Greek/Latin name (if known) | Status | Emperor associated | How identified (relationship) | Date named Augusta / elevated | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Martina | Martina | Empress-consort (Augusta) | Heraclius | Second wife of Heraclius | 613/614 | Highly controversial court figure; later acted as regent |
| Anastasia | Anastasia | Empress-consort (Augusta) | Tiberius II Constantine | Wife of Tiberius II | 574 | Elevated during Tiberius’s rise to power |
| Maria of Amnia | Maria of Amnia | Empress-consort (Augusta) | Constantine VI | Wife of Constantine VI | 788 | Associated with the early reign of Constantine VI |
| Eirene of Athens | Eirene (Irene) | Empress-consort; later ruling empress | Leo IV / Constantine VI | Wife of Leo IV; mother of Constantine VI | 775 | Later ruled in her own right after serving as regent |
| Theodora (wife of Theophilos) | Theodora | Empress-consort (Augusta) | Theophilos | Wife of Theophilos | 830 | Later regent; linked with restoration of icons |
| Eudokia Ingerina | Eudokia Ingerina | Empress-consort (Augusta) | Basil I | Wife of Basil I | 866 | Central figure in Macedonian dynasty court politics |
| Zoe Karbonopsina | Zoe Karbonopsina | Empress-consort (Augusta) | Leo VI | Wife of Leo VI | 906 | Fourth marriage of Leo VI; later regent for Constantine VII |
| Helena Lekapene | Helena Lekapene | Empress-consort (Augusta) | Constantine VII | Wife of Constantine VII | 919 | Daughter of Romanos I; dynastic alliance through marriage |
| Theophano | Theophano | Empress-consort (Augusta) | Romanos II | Wife of Romanos II | 956 | Mother of Basil II and Constantine VIII; influential in succession |
| Catherine of Bulgaria | Aikaterinē (Catherine) | Empress-consort (Augusta) | Isaac I Komnenos | Wife of Isaac I Komnenos | 1057 | Byzantine-period Augusta; noted as empress-consort |
