# Major National Highways in Uttar Pradesh (post-renumbering) — key corridors and in-state route

| Highway (NH) | Corridor / In-state route (west → east / south) | Key junctions in Uttar Pradesh | Approx. in-state span (qualitative) | Notes |
| --- | --- | --- | --- | --- |
| NH 19 | Agra → Firozabad → Etawah → Kanpur Dehat → Kanpur → Prayagraj → Varanasi corridor | Agra, Kanpur, Prayagraj, Varanasi | Long | Formerly part of the old NH 2 (Grand Trunk style corridor) |
| NH 27 | Lucknow → Ayodhya → Basti → Gorakhpur → Kushinagar → Bihar border | Lucknow, Gorakhpur | Long | Major east–west trunk across central/eastern UP |
| NH 28 | Lucknow → Barabanki → Ayodhya/Faizabad → Gorakhpur → Bihar border | Lucknow, Ayodhya, Gorakhpur | Long | Legacy corridor often referenced in older lists |
| NH 30 | Lucknow → Rae Bareli → Pratapgarh (toward Prayagraj region) | Lucknow, Rae Bareli | Medium | Connects state capital region to south-east UP |
| NH 34 | Sitapur → Shahjahanpur → Bareilly (toward Uttarakhand) | Sitapur, Bareilly | Medium | North-central UP link to Rohilkhand |
| NH 44 (segment) | Near Agra region connecting toward Rajasthan/Haryana corridors | Agra region junctions | Short/segment | National north–south spine touches UP via link segments |
| NH 731 | Lucknow → Sultanpur → Jaunpur (toward Varanasi region) | Lucknow, Sultanpur, Jaunpur | Medium | Important connector between capital and eastern UP |
| NH 330 | Prayagraj → Pratapgarh → Sultanpur → Ayodhya | Prayagraj, Ayodhya | Medium | South-east UP connector feeding into NH 27 |
| NH 9 | Ghaziabad/Noida → Hapur → Moradabad → Rampur → Bareilly | Ghaziabad, Moradabad, Bareilly | Long | Key Delhi NCR–Rohilkhand corridor |
| NH 24 (legacy reference) | Delhi border → Ghaziabad → Hapur → Moradabad (corridor reference) | Ghaziabad, Hapur, Moradabad | Long | Often cited as NH 24 in older documents; largely overlaps the NH 9 corridor |
| NH 91 | Ghaziabad → Bulandshahr → Aligarh → Etah (toward Kanpur linkages) | Ghaziabad, Aligarh | Medium | West UP arterial feeding into central UP |
| NH 93 (legacy reference) | Varanasi → Mirzapur → MP border direction | Varanasi, Mirzapur | Medium | Older numbering commonly used for this UP–MP link |
