# London Rail & Underground Network Classification for Central Stations

| Station | Fare zone | Lines / Services | Platforms (approx.) | Station type | Step-free access |
| --- | --- | --- | --- | --- | --- |
| Waterloo | 1 | Bakerloo, Jubilee, Northern, Waterloo & City + NR | 24 | Terminus | Partial |
| Victoria | 1 | Circle, District, Victoria + NR | 19 | Terminus | Partial |
| Liverpool Street | 1 | Central, Circle, H&C, Metropolitan + NR | 18 | Terminus | Partial |
| London Bridge | 1 | Jubilee, Northern + NR | 15 | Through/Terminus | Partial |
| King's Cross St Pancras | 1 | Circle, H&C, Metropolitan, Northern, Piccadilly, Victoria + NR | 15 | Interchange | Yes |
| Paddington | 1 | Bakerloo, Circle, District, H&C + NR | 14 | Terminus | Partial |
| Euston | 1 | Northern, Victoria + NR | 18 | Terminus | Yes |
| Bank / Monument | 1 | Central, Northern, Waterloo & City, DLR + District/Circle | 10 | Interchange | Partial |
| Oxford Circus | 1 | Bakerloo, Central, Victoria | 6 | Interchange | No |
| Green Park | 1 | Jubilee, Piccadilly, Victoria | 6 | Interchange | Yes |
