# U.S. State Seat Belt Law Enforcement Classification (Primary vs Secondary)

| State | Enforcement Classification | Notes (enforcement-only) |
|---|---|---|
| Alabama | Secondary | Seat belt citation requires another stop/violation first |
| Alaska | Secondary | Secondary enforcement for adult seat belt law |
| Arizona | Secondary | Secondary enforcement statewide |
| California | Primary | Seat belt violation can be the sole reason for a stop |
| Colorado | Secondary | Generally secondary for adults |
| Connecticut | Primary | Primary enforcement statewide |
| Delaware | Primary | Primary enforcement statewide |
| Florida | Primary | Primary enforcement statewide |
| Indiana | Primary | Primary enforcement statewide |
| Iowa | Primary | Primary enforcement statewide |
| Kansas | Secondary | Secondary enforcement statewide |
| Kentucky | Primary | Primary enforcement statewide |
| Louisiana | Primary | Primary enforcement statewide |
| Mississippi | Primary | Primary enforcement statewide |
| Missouri | Secondary | Secondary enforcement statewide |
