# Public Holidays in South Africa — Holiday Dates Plus Unrelated Economic Indicators

| Date | Holiday name | Stock market open? | Average hotel price index (Johannesburg=100) |
| --- | --- | --- | --- |
| 2023-01-01 | New Year's Day | Closed | 112 |
| 2023-03-21 | Human Rights Day | Closed | 95 |
| 2023-04-07 | Good Friday | Closed | 108 |
| 2023-04-10 | Family Day | Closed | 104 |
| 2023-04-27 | Freedom Day | Closed | 90 |
| 2023-05-01 | Workers' Day | Closed | 92 |
| 2023-06-16 | Youth Day | Closed | 98 |
| 2023-09-24 | Heritage Day | Closed | 101 |
| 2023-12-25 | Christmas Day | Closed | 130 |
