# Fallout 4 Unique Armor & Outfit Collectibles  Item-to-Source Location Checklist

| Collectible Item (Unique Armor/Outfit) | Item Type | Source Type | Specific Place / Vendor / Quest | Acquisition Notes |
| --- | --- | --- | --- | --- |
| Grognak Costume | Outfit | Loot (World) | Hubris Comics (Downtown Boston) | Found inside Hubris Comics; loot from display/prop area |
| Silver Shroud Costume | Outfit | Quest Reward | Goodneighbor (Memory Den / Silver Shroud questline) | Obtain by starting and progressing the Silver Shroud side quest |
| Silver Shroud's Hat | Headwear | Quest/Location Loot | Goodneighbor (during Silver Shroud quest steps) | Pick up during the quest path; check quest-related interiors |
| Detective's Outfit | Outfit | Loot (World) | Vault 114 (Park Street Station) | Found in/around Vault 114 while exploring the vault sections |
| Mechanist's Armor Set | Armor | Quest Reward | Automatron DLC: "Restoring Order" (Mechanist's Lair) | Looted at the end of the Automatron main quest in the Lair |
| Oswald's Tophat | Headwear | Loot (World) | Nuka-World DLC: Kiddie Kingdom | Obtain after confronting/finishing the Kiddie Kingdom storyline |
| Cappy Jacket & Jeans | Outfit | Quest Reward | Nuka-World DLC: "Cappy in a Haystack" | Reward for completing the hidden Cappy quest and turning it in |
| Radical's Face Mask | Face Armor | Loot (World) | Nuka-World DLC: Dry Rock Gulch | Found on/near a hostile NPC; search bodies after combat |
| Marine Armor Helmet | Armor | Vendor | Far Harbor DLC: The Nucleus (vendor) | Purchase from a vendor in The Nucleus after reaching the location |
| Marine Wetsuit | Underarmor | Loot (World) | Far Harbor DLC: Haddock Cove (coastal site) | Located in a coastal shack/containers; loot from the site |
| Robes of Atom's Devoted | Outfit | Loot (World) | Far Harbor DLC: The Nucleus | Can be looted from Children of Atom members in/around The Nucleus |
| Vault 111 Jumpsuit (Spare) | Outfit | Loot (World) | Vault 111 (near cryo area) | Extra jumpsuit can be looted in Vault 111 during/after returning |
