# Super Smash Bros. Melee — Hidden Fighters and Non-Character Rewards (Mixed Unlock List)

| Unlockable | Category | Requirement (Summary) | VS Match Count |
| --- | --- | --- | --- |
| Jigglypuff | Fighter | Clear 1P Classic once | 50 |
| Dr. Mario | Fighter | Clear 1P Classic with Mario | 100 |
| Falco | Fighter | Clear 100-Man Melee | 300 |
| Young Link | Fighter | Clear Adventure Mode | 200 |
| Mewtwo | Fighter | Play 20 hours of VS | 700 |
| Luigi | Fighter | Play 800 VS matches | 800 |
| Final Destination | Stage | Clear Event 51 | — |
| Sound Test | Feature | Clear All-Star Mode | — |
| Brinstar Depths | Stage | Play 50 VS matches | 50 |
| Pichu Trophy | Trophy | Clear Event 37 | — |
