# Spectroscopic Identification of Oxygen-Containing Functional Groups (IR NMR Clues)

| Functional group | IR diagnostic peak (cm^-1) | 1H NMR clue (ppm) | 13C NMR clue (ppm) | Typical comment |
| --- | --- | --- | --- | --- |
| Alcohol (O-H) | 3200–3600 broad | 0.5–5 (broad) | C-O: 50–80 | Hydrogen bonding broadens IR |
| Phenol (Ar-OH) | 3200–3600 broad | 4–12 (broad) | Ar-C-O: 150–160 | Often downfield OH |
| Aldehyde (C=O) | 1720–1740 | 9–10 | 190–205 | Aldehydic H is distinctive |
| Ketone (C=O) | 1705–1725 | (no aldehydic H) | 205–220 | Carbonyl carbon very downfield |
| Carboxylic acid | 2500–3300 very broad; 1700–1725 | 10–13 (broad) | 170–185 | Very broad OH stretch |
| Ester | 1735–1750 | 3.7–4.3 (O-CH) | 165–175 | Strong C=O + C-O bands |
| Ether | 1050–1150 (C-O) | 3.3–4.0 (O-CH) | 50–90 | No carbonyl peak |
| Anhydride | ~1820 and ~1760 | (varies) | 160–180 | Two carbonyl stretches |
| Acid chloride | 1780–1815 | (varies) | 165–185 | High-frequency carbonyl |
| Peroxide | 800–900 (O-O) weak | 3–4 (RO-CH) | 50–90 | Often weak/ambiguous |
