# List of LGBT characters in film
> D

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Phil D'Amato | Big Daddy | Gay | Film |
| Stuart Dakin | The History Boys | Bisexual | Film/Theatre |
| Damian | Mean Girls | Gay | Film |
| Eddie Dane | Miller's Crossing | Gay | Film |
| Daniel | Amphetamine | Gay | Film |
| Danvers | Rebecca | Lesbian | Film |
| Darius | Jeffrey | Gay | Film |
| Graham Dashwood | The Best Exotic Marigold Hotel | Gay | Film |
| Aaron Davis | Latter Days | Gay | Film |
| Deadpool [2] | Deadpool | Pansexual | Film |
| Dean | Saved! | Gay | Film |
| Randy Dean | The Incredibly True Adventure of Two Girls in Love | Lesbian | Film |
| Roger De Bris | The Producers | Gay | Film |
| Ennis Del Mar | Brokeback Mountain | Gay/Bisexual | Film |
| Paul Denton | The Rules of Attraction | Gay | Film |
| Lucy Diamond | D.E.B.S | Lesbian | Film |
| Gordon Deitrich | V for Vendetta | Gay | Film |
| Richard DiNardo | Victor Victoria | Bisexual | Film |
| John Dixon | Get Real | Gay | Film |
| Tom Dixon | Hollow Reed | Gay | Film |
| Martha Dobie | The Children's Hour | Lesbian | Film/Theatre |
| Dolph | But I'm a Cheerleader | Gay | Film |
| Scott Donlan | Best in Show | Gay | Film |
| Donner | Johns | Gay | Film |
| Mitch Downe [3] | ParaNorman | Gay | Film |
| George Downes | My Best Friend's Wedding | Gay | Film |
| Albus Dumbledore | Harry Potter | Gay | Film |
| Fred Duncan | I Now Pronounce You Chuck and Larry | Gay | Film |
| Thomas Duncan | But I'm a Cheerleader | Gay | Film |
| Clayton Dunn | But I'm a Cheerleader | Gay | Film |
| Clive Durham | Maurice | Gay | Film |
