# Selected Invasions and Interventions (1945–Present)

| Year | Operation / Invasion | Invading Forces | Target | Outcome (brief) |
| --- | --- | --- | --- | --- |
| 1956 | Suez Crisis intervention | United Kingdom; France; Israel | Egypt | Withdrawal after pressure |
| 1961 | Bay of Pigs Invasion | Cuban exiles backed by US | Cuba | Failed |
| 1968 | Warsaw Pact invasion of Czechoslovakia | USSR; Poland; others | Czechoslovakia | Occupation |
| 1979 | Soviet invasion of Afghanistan | USSR | Afghanistan | Prolonged war |
| 1983 | Invasion of Grenada | United States; Caribbean allies | Grenada | Government overthrown |
| 1989 | US invasion of Panama | United States | Panama | Noriega removed |
| 1991 | Coalition intervention in Kuwait | US-led coalition | Iraq (forces in Kuwait) | Iraqi forces expelled |
| 2001 | US-led invasion of Afghanistan | United States; allies | Afghanistan | Taliban removed (initially) |
| 2003 | Invasion of Iraq | United States; United Kingdom; allies | Iraq | Regime change |
| 2014 | Crimea annexation / intervention | Russia | Ukraine (Crimea) | Annexation |
