# Lambeth (London Borough Council) — Term Dates and Holiday Periods (School-Level Variations Included)

| Scope | Institution / Area | Term / Holiday | Start Date | End Date | Notes |
| --- | --- | --- | --- | --- | --- |
| Local authority guidance | Lambeth (area-wide) | Autumn Term (recommended) | 2024-09-02 | 2024-10-25 | LA suggested pattern |
| School-specific | Ark Evelyn Grace Academy | Autumn Half Term | 2024-10-21 | 2024-10-25 | Academy inset differs |
| School-specific | Dunraven School | Autumn Half Term | 2024-10-28 | 2024-11-01 | Uses later half-term |
| Local authority guidance | Lambeth (area-wide) | Christmas Holiday | 2024-12-23 | 2025-01-03 | LA holiday window |
| School-specific | Notre Dame RC Girls' School | Christmas Holiday | 2024-12-20 | 2025-01-03 | Break starts earlier |
| Local authority guidance | Lambeth (area-wide) | Spring Half Term (recommended) | 2025-02-17 | 2025-02-21 | LA suggested |
| School-specific | Henry Cavendish Primary School | Spring Half Term | 2025-02-10 | 2025-02-14 | Different week |
| Local authority guidance | Lambeth (area-wide) | Easter Holiday (recommended) | 2025-04-07 | 2025-04-18 | LA suggested |
| School-specific | City Heights E-ACT Academy | Easter Holiday | 2025-04-14 | 2025-04-25 | Extends beyond LA window |
