# Norwegian Air Shuttle — Individual Airframes (Registration list by type)

| Aircraft type | Registration | MSN | Status | Introduced | Retired |
| --- | --- | --- | --- | --- | --- |
| Boeing 737-800 | LN-NGA | 35211 | Active | 2009 | — |
| Boeing 737-800 | LN-NGB | 35212 | Active | 2009 | — |
| Boeing 737-800 | LN-NGC | 35213 | Active | 2010 | — |
| Boeing 737 MAX 8 | LN-NMD | 64901 | Stored | 2018 | — |
| Boeing 737 MAX 8 | LN-NME | 64902 | Stored | 2019 | — |
| Boeing 787-9 | LN-LNA | 38790 | Retired | 2014 | 2021 |
| Boeing 787-9 | LN-LNB | 38791 | Retired | 2015 | 2021 |
| Fokker 50 | LN-BUF | 20112 | Retired | 1996 | 2004 |
| McDonnell Douglas MD-82 | LN-MDX | 49412 | Retired | 2008 | 2009 |
| Boeing 737-300 | LN-KKA | 23690 | Retired | 2002 | 2015 |
