# LGBT Characters in Theatre and Stage Adaptations (Including Some Screen Versions)

| Character | Production | Orientation/Gender identity | Primary format | Screen adaptation |
| --- | --- | --- | --- | --- |
| Stuart Dakin | The History Boys | Bisexual | Theatre | Film (2006) |
| Hector | The History Boys | Gay | Theatre | Film (2006) |
| Posner | The History Boys | Gay | Theatre | Film (2006) |
| Angel Dumott Schunard | Rent | Gay | Theatre | Film (2005) |
| Maureen Johnson | Rent | Bisexual | Theatre | Film (2005) |
| Prior Walter | Angels in America | Gay | Theatre | TV miniseries |
| Belize | Angels in America | Gay | Theatre | TV miniseries |
| Hedwig | Hedwig and the Angry Inch | Genderqueer | Theatre | Film (2001) |
| Emcee | Cabaret | Bisexual | Theatre | Film (1972) |
| Lola | Kinky Boots | Drag performer | Theatre | Film (2005) |
