# List of Sailor Moon episodes
> Episode list

| No. | Cloverway title [7] Original Japanese [8] and Viz [9] titles | Episode director(s) | Writer(s) | Art director(s) | Animation director(s) | Original airdate [8] | English airdate |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 90 | "Star Struck, Bad Luck" "Premonition of the Apocalypse: The Mysterious New Guardians Appear" "Chikyū hōkai no yokan? Nazo no shin Senshi shutsugen" (地球崩壊の予感?謎の新戦士出現) | Junichi Sato | Sukehiro Tomita | Kenichi Tajiri | Masahiro Andō | March 19, 1994 | June 12, 2000 |
| 91 | "Crystal Clear Again" "The Rod of Love Is Born: Usagi's New Transformation" "Ai no roddo tanjō! Usagi no shin henshin" (愛のロッド誕生!うさぎの新変身) | Yūji Endō | Shigeru Yanagawa | Yoshiyuki Shikano | Katsumi Tamegai | March 26, 1994 | June 13, 2000 |
| 92 | "Driving Dangerously" "A Handsome Boy? Haruka Tenoh's Secret" "Suteki na bishōnen? Ten'ō Haruka no himitsu" (素敵な美少年?天王はるかの秘密) | Kunihiko Ikuhara | Katsuyuki Sumisawa | Kazuhisa Asai | Hisashi Kagawa | April 16, 1994 | June 14, 2000 |
| 93 | "Bad Harmony" "Usagi's Idol: The Graceful Genius Michiru" "Usagi no akogare! Yūbi no tensai Michiru" (うさぎの憧れ!優美な天才みちる) | Hiroki Shibata | Megumi Sugihara | Kazuyuki Hashimoto | Taichi Nakamura | April 23, 1994 | June 15, 2000 |
| 94 | "Swept Off Her Feet" "Protect the Pure Heart: The Three-Way Battle" "Pyua na kokoro wo mamore! Teki mikata mittsu tomoe ransen" (純な心を守れ!敵味方三つ巴乱戦) | Noriyo Sasaki | Sukehiro Tomita | Kenichi Tajiri | Ikuko Itō | April 30, 1994 | June 16, 2000 |
| 95 | "Blinded By Love's Light" "Let Moon Help With Your Love Problems" "Koi no otasuke wa Mūn ni omakase" (恋のおたすけはムーンにおまかせ) | Harume Kosaka | Shigeru Yanagawa | Yoshiyuki Shikano | Mari Tominaga | May 7, 1994 | June 19, 2000 |
| 96 | "Lita Borrows Trouble" "Coldhearted Uranus: Makoto in Danger" "Reikoku na Uranusu? Makoto no pinchi" (冷酷なウラヌス?まことのピンチ) | Kōnosuke Uda | Yoji Enokido | Kazuhisa Asai | Masahiro Andō | May 14, 1994 | June 20, 2000 |
| 97 | "Damp Spirits" "The Labyrinth of Water: Ami Targeted" "Mizu no rabarinsu! Nerawareta Ami" (水のラビリンス!ねらわれた亜美) | Junichi Sato | Megumi Sugihara | Kazuyuki Hashimoto | Katsumi Tamegai | May 21, 1994 | June 21, 2000 |
| 98 | "Friendly Foes" "To Save Our Friends: Moon and Uranus Join Forces" "Tomodachi wo sukue! Mūn Uranusu rengō" (友達を救え!ムーンウラヌス連合) | Yūji Endō | Sukehiro Tomita | Kenichi Tajiri | Taichi Nakamura | May 28, 1994 | June 22, 2000 |
| 99 | "Mixed Emotions" "A Man’s Kindness: Yuichiro Heartbroken by Rei" "Otoko no yasashisa! Yūichirō Rei ni shitsuren?" (男の優しさ!雄一郎レイに失恋?) | Harume Kosaka | Megumi Sugihara | Yoshiyuki Shikano | Shinya Hasegawa | June 18, 1994 | June 23, 2000 |
