# Amino acids list  classification and standard abbreviations

| Amino acid | Essential / nullssential | 1-letter code | 3-letter code | Note |
| --- | --- | --- | --- | --- |
| Cysteine | nullssential | C | Cys | sulfur-containing |
| Tyrosine | nullssential | Y | Tyr | aromatic |
| Glycine | nullssential | G | Gly | smallest side chain |
| Proline | nullssential | P | Pro | cyclic |
| Alanine | nullssential | A | Ala | nonpolar |
| Glutamine | nullssential | Q | Gln | amide |
| Asparagine | nullssential | N | Asn | amide |
| Lysine | Essential | K | Lys | basic |
| Tryptophan | Essential | W | Trp | aromatic |
| Threonine | Essential | T | Thr | polar |
| Valine | Essential | V | Val | branched-chain |
