# Red FM 93.5
> Radio stations

| States | Language | Cities |
| --- | --- | --- |
| Kerala | Malayalam | Thiruvananthapuram , Kochi , Thrissur (91.1MHz), Kannur , Kozhikode , |
| Madhya Pradesh | Hindi /Other | Indore , Bhopal , Jabalpur , Gwalior , Ujjain , Satna |
| Andhra Pradesh | Telugu | Rajamundry , Tirupati , Vijayawada , Visakhapatnam |
| Telangana | Telugu | Hyderabad , Warangal |
| Karnataka | Kannada / Tulu | Bengaluru , Mangaluru , Mysuru , Gulbarga |
| Maharashtra | Hindi / Marathi | Aurangabad , Pune , Nashik , Nagpur , Matheran |
| Uttar Pradesh | Hindi /Other | Lucknow , Varanasi , Kanpur , Allahabad , Faizabad |
| Gujarat | Hindi /Other | Rajkot , Vadodara , Ahmedabad |
| Other States | Hindi /Other | Jaipur , Bhubaneshwar , Jamshedpur , Siliguri , Asansol , Gangtok , Guwahati , Shillong , Aizawl |
| Metro | Hindi /Other | New Delhi , Mumbai , Kolkata |
