# Bottled Water Brand Profiles with pH Mentioned (Product Overview)

| Brand | Product Description | Packaging/Size Notes | Selling Point | pH (stated/typical) |
| --- | --- | --- | --- | --- |
| Evian | Alpine spring water | 500 mL / 1 L | mineral balance | ~7 |
| Fiji | artesian aquifer water | 500 mL / 1 L | silica content | ~7.4 |
| Voss | Norwegian artesian water | glass/plastic options | premium design | ~6.0–6.5 |
| Essentia | purified water with electrolytes | 1 L sports cap | "ionized" marketing | 9.5+ |
| Smartwater | vapor-distilled with added electrolytes | 700 mL / 1 L | clean taste | ~7 |
| Poland Spring | regional spring water | multi-pack bottles | everyday value | ~6.3 |
| Aquafina | purified municipal source | multi-pack | neutral taste | ~5.5–6.5 |
| Dasani | purified with minerals | multi-pack | added minerals | ~5.0–6.0 |
| Perrier | naturally carbonated mineral water | glass cans/bottles | sparkling | ~5.0–5.5 |
| S. Pellegrino | Italian sparkling mineral water | glass bottles | dining staple | ~5.0–5.6 |
