# TNA Gauntlet for the Gold
> Match history

| # | Match | Stipulations | Event | Date (aired) and Location |
| --- | --- | --- | --- | --- |
| 1 | Ken Shamrock defeated Malice | Gauntlet Final For the NWA World Heavyweight Championship | NWA-TNA Weekly PPV #1 | June 19, 2002 Huntsville, AL [3] |
| 2 | America's Most Wanted defeated Brian Lee and Ron Harris | Gauntlet Final For the vacant NWA World Tag Team Championship | NWA-TNA Weekly PPV #12 | September 18, 2002 Nashville, TN [4] |
| 3 | Petey Williams defeated Amazing Red | Gauntlet Final For the vacant TNA X Division Championship | NWA-TNA Weekly PPV #110 | August 11, 2004 Nashville, TN [5] |
| 4 | Abyss defeated Ron Killings | Gauntlet Final #1 Contenders Match for the NWA World Heavyweight Championship | Hard Justice (2005) | May 15, 2005 Orlando, FL [6] |
| 5 | Rhino defeated Jeff Jarrett | Gauntlet Final For the NWA World Heavyweight Championship | Bound for Glory (2005) | October 23, 2005 Orlando, FL [7] |
| 6 | Samoa Joe defeated Tomko | Gauntlet Final #1 Contenders Match for the TNA World Heavyweight Championship | TNA iMPACT! | February 15, 2007 Orlando, FL [8] |
| 7 | A.J. Styles and Tomko defeated Motor City Machine Guns | Gauntlet Final #1 Contenders Match for the TNA World Tag Team Championship | No Surrender (2007) | September 9, 2007 Orlando, FL [9] |
| 8 | Gail Kim defeated Roxxi Laveaux | Gauntlet Final For the TNA Women's Knockout Championship | Bound for Glory (2007) | October 14, 2007 Duluth, GA [10] |
| 9 | Motor City Machine Guns defeated Team 3D | Gauntlet Final #1 Contenders Match for the TNA World Tag Team Championship | TNA iMPACT! | January 3, 2008 Orlando, FL [11] |
| 10 | ODB defeated Roxxi Laveaux | Gauntlet Final #1 Contenders Match for the TNA Women's Knockout Championship | TNA iMPACT! | January 3, 2008 Orlando, FL [12] |
| 11 | Petey Williams defeated Senshi | Gauntlet Final #1 Contenders Match for the TNA X Division Championship | TNA iMPACT! | January 3, 2008 Orlando, FL [13] |
| 12 | Christian Cage defeated Samoa Joe | Gauntlet Final #1 Contenders Match for the TNA World Heavyweight Championship | TNA iMPACT! | January 3, 2008 Orlando, FL [14] |
| 13 | Sojournor Bolt defeated Madison Rayne | Gauntlet Final #1 Contenders Match for the TNA Women's Knockout Championship | TNA iMPACT! | February 12, 2009 Orlando, FL [15] |
| 14 | Tyrus defeated Mr. Anderson | Gauntlet Final #1 Contenders Match for the TNA World Heavyweight Championship | Bound for Glory (2015) | October 4, 2015 Concord, NC [16] |
| 15 | Awesome Kong defeated Madison Rayne | Gauntlet Final #1 Contenders Match for the TNA Knockouts Championship | TNA One Night Only: Live | January 8, 2016 Bethlehem, PA |
| 16 | Gail Kim defeated Sienna | Gauntlet Final #1 Contenders Match for the TNA Knockouts Championship | Impact Wrestling | September 15, 2016 Orlando, FL |
| 17 | Eli Drake defeated Jessie Godderz | Gauntlet Final #1 Contenders Match for the TNA World Heavyweight Championship | Bound for Glory (2016) | October 2, 2016 Orlando, FL |
