# ACE Inhibitors (Brand Names Only) — Quick List

| Drug Class | Drug (Brand/Trade Name) | Notes |
| --- | --- | --- |
| ACE inhibitors | Zestril | Commonly prescribed for hypertension |
| ACE inhibitors | Prinivil | Same active ingredient as Zestril |
| ACE inhibitors | Vasotec | Often used in heart failure |
| ACE inhibitors | Capoten | Shorter-acting option |
| ACE inhibitors | Altace | Frequently used post-MI |
| ACE inhibitors | Accupril | Requires renal dosing caution |
| ACE inhibitors | Lotensin | May cause cough |
| ACE inhibitors | Monopril | Mixed hepatic/renal clearance |
| ACE inhibitors | Univasc | Less commonly used |
| ACE inhibitors | Mavik | Monitor potassium |
| ACE inhibitors | Aceon | Once-daily option |
