# Bible-Rooted Baby Names  Meaning, Language of Origin, and Biblical Figure

| Name | Gender | Language of Origin | Meaning / Message | Biblical Figure or Narrative Link | Testament |
| --- | --- | --- | --- | --- | --- |
| Adam | Boy | Hebrew | Man; from the ground | First man in creation narrative | Old |
| Eve | Girl | Hebrew | Life; living | First woman; mother of all living | Old |
| Sarah | Girl | Hebrew | Princess | Matriarch; wife of Abraham | Old |
| Isaac | Boy | Hebrew | He laughs | Son of Abraham and Sarah | Old |
| Rebecca | Girl | Hebrew | To bind; to tie (traditional) | Wife of Isaac; matriarch | Old |
| Rachel | Girl | Hebrew | Ewe | Wife of Jacob; mother of Joseph | Old |
| Daniel | Boy | Hebrew | God is my judge | Faithful exile; visions | Old |
| Jonah | Boy | Hebrew | Dove | Prophet sent to Nineveh | Old |
| Miriam | Girl | Hebrew | Beloved; bitter (traditional etymologies) | Sister of Moses; prophetess | Old |
| Joshua | Boy | Hebrew | YHWH is salvation | Leader after Moses | Old |
| Jesus (Yeshua) | Boy | Hebrew/Aramaic | YHWH saves | Central figure of Christianity | New |
| Elizabeth | Girl | Hebrew | My God is an oath | Mother of John the Baptist | New |
