# 1954 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality | Team | College |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | Selvy, Frank Frank Selvy + | G/F | United States | Baltimore Bullets | Furman |
| 1 | 2 | Pettit, Bob Bob Pettit ^ | F/C | United States | Milwaukee Hawks | LSU |
| 1 | 3 | Shue, Gene Gene Shue * | G | United States | Philadelphia Warriors | Maryland |
| 1 | 4 | Rosenthal, Dick Dick Rosenthal | G/F | United States | Fort Wayne Pistons | Notre Dame |
| 1 | 5 | Palazzi, Togo Togo Palazzi | G/F | United States | Boston Celtics | Holy Cross |
| 1 | 6 | Kerr, Johnny Johnny Kerr + | F/C | United States | Syracuse Nationals | Illinois |
| 1 | 7 | Marshall, Tom Tom Marshall | G/F | United States | Rochester Royals | Western Kentucky |
| 1 | 8 | Turner, Jack Jack Turner | G/F | United States | New York Knicks | Western Kentucky |
| 1 | 9 | Kalafat, Ed Ed Kalafat | F/C | United States | Minneapolis Lakers | Minnesota |
| 2 | 10 | Leonard, Bobby Bobby Leonard | G | United States | Baltimore Bullets | Indiana |
| 2 | 11 | Mattick, Bob Bob Mattick # | C | United States | Milwaukee Hawks | Oklahoma A&M |
| 2 | 12 | Costello, Larry Larry Costello * | G | United States | Philadelphia Warriors | Niagara |
| 2 | 13 | Short, Arnold Arnold Short # | G | United States | Fort Wayne Pistons | Oklahoma City |
| 2 | 14 | Morrison, Red Red Morrison | F/C | United States | Boston Celtics | Idaho |
| 2 | 15 | Farley, Dick Dick Farley | G/F | United States | Syracuse Nationals | Indiana |
| 2 | 16 | Nachamkin, Boris Boris Nachamkin | F | United States | Rochester Royals | NYU |
| 2 | 17 | Guerin, Richie Richie Guerin ^ | G | United States | New York Knicks | Iona |
| 2 | 18 | Bianchi, Al Al Bianchi | G | United States | Minneapolis Lakers | Bowling Green |
