# Cross-Platform Console Emulators (Original System vs Host Platform)

| Emulator | Emulated system (original) | Host platform / OS | Supported architectures | License | Notable features |
| --- | --- | --- | --- | --- | --- |
| Dolphin | Nintendo GameCube / Wii | Windows, macOS, Linux, Android | x86_64, ARM64 (Android) | Open source | Enhancements (HD rendering), controller profiles |
| PCSX2 | Sony PlayStation 2 | Windows, Linux, macOS | x86_64 | Open source | Per-game fixes, upscaling, save states |
| PPSSPP | Sony PSP | Windows, macOS, Linux, Android, iOS | x86_64, ARM64 | Open source | High-res rendering, fast-forward, touch controls |
| Citra | Nintendo 3DS | Windows, macOS, Linux, Android | x86_64, ARM64 (Android) | Open source | Custom textures, shader support |
| DuckStation | Sony PlayStation (PS1) | Windows, Linux, macOS, Android | x86_64, ARM64 | Open source | Accurate timing, PGXP geometry correction |
| DeSmuME | Nintendo DS | Windows, macOS, Linux | x86_64 | Open source | Debugger tools, mic/touch emulation |
| melonDS | Nintendo DS / DSi | Windows, macOS, Linux, Android | x86_64, ARM64 | Open source | DSi support options, Wi-Fi features (varies) |
| Mupen64Plus | Nintendo 64 | Windows, Linux, macOS, Android | x86_64, ARM64 | Open source | Plugin-based video/audio/input |
| Kega Fusion | Sega Genesis / Mega Drive, Master System, Game Gear | Windows | x86/x86_64 | Freeware | Multi-system Sega support, low setup complexity |
