# Common oxygen-containing functional groups (names, formulas, and example compounds)

| Functional group | Typical motif (generic) | Example compound | Example formula | Notes |
| --- | --- | --- | --- | --- |
| Alcohol (hydroxyl) | R–OH | Ethanol | C2H5OH | O in hydroxyl |
| Phenol | Ar–OH | Phenol | C6H5OH | Aromatic hydroxyl |
| Ether | R–O–R' | Diethyl ether | C4H10O | Oxygen as linker |
| Aldehyde | R–CHO | Ethanal | CH3CHO | Carbonyl at chain end |
| Ketone | R–CO–R' | Acetone | (CH3)2CO | Internal carbonyl |
| Carboxylic acid | R–COOH | Acetic acid | CH3COOH | Carbonyl + hydroxyl |
| Ester | R–COOR' | Ethyl acetate | CH3COOCH2CH3 | Acid derivative with O |
| Anhydride | (RCO)2O | Acetic anhydride | (CH3CO)2O | Two acyl groups share O |
| Acyl halide | R–COX | Acetyl chloride | CH3COCl | Carbonyl-containing derivative |
| Amide | R–CONH2 | Acetamide | CH3CONH2 | Carbonyl-containing derivative |
