# Selected Country Profiles (Government, Demographics, and Geography)

| Country | Capital | Government Type | Population (approx.) | Official Language(s) | Geography Summary |
|---|---|---|---:|---|---|
| Bolivia | Sucre / La Paz | Unitary presidential republic | 11.5M | Spanish, Quechua, Aymara | Andean highlands and Amazon basin; landlocked |
| Austria | Vienna | Federal parliamentary republic | 9.1M | German | Alpine country; landlocked |
| Switzerland | Bern | Federal semi-direct democracy | 8.8M | German, French, Italian, Romansh | Alpine plateau; landlocked |
| Nepal | Kathmandu | Federal parliamentary republic | 30.5M | Nepali | Himalayan state; landlocked |
| Chad | N'Djamena | Unitary presidential republic | 17.0M | French, Arabic | Sahel/Sahara; landlocked |
| Mongolia | Ulaanbaatar | Semi-presidential republic | 3.4M | Mongolian | Steppe and desert; landlocked |
| Paraguay | Asunción | Presidential republic | 7.5M | Spanish, Guarani | Riverine plains; landlocked |
| Vietnam | Hanoi | Socialist republic | 100M | Vietnamese | Coastal state along South China Sea |
| Japan | Tokyo | Parliamentary constitutional monarchy | 124M | Japanese | Island archipelago |
| Canada | Ottawa | Federal parliamentary democracy | 40M | English, French | Extensive Arctic/Atlantic/Pacific coasts |
