# Global Systemically Important Banks (G-SIBs)  Balance Sheet Snapshot (No Explicit Rank)

| Bank | Country/Region | Total Assets (USD bn) | Tier 1 Capital Ratio | Net Profit (USD bn) |
| --- | --- | ---: | ---: | ---: |
| Industrial and Commercial Bank of China (ICBC) | China | 6100 | 13.4 | 52.1 |
| JPMorgan Chase & Co. | United States | 4100 | 15.0 | 49.6 |
| HSBC Holdings plc | United Kingdom | 3000 | 14.2 | 30.3 |
| BNP Paribas | France | 2900 | 13.1 | 11.0 |
| Bank of America | United States | 3200 | 14.6 | 26.5 |
| China Construction Bank (CCB) | China | 5200 | 13.9 | 47.8 |
| Mitsubishi UFJ Financial Group (MUFG) | Japan | 3100 | 11.9 | 8.7 |
| Crédit Agricole Group | France | 2700 | 12.7 | 6.4 |
| Barclays | United Kingdom | 1900 | 13.5 | 2.2 |
| Santander | Spain | 1700 | 12.1 | 11.5 |
