# 2016 NFL Draft RB Prospect Rankings (Pre-Draft Position Board)

| RB Rank | Prospect | Position | College | Notable trait (pre-draft) |
| --- | --- | --- | --- | --- |
| 1 | Ezekiel Elliott | RB | Ohio State | Complete three-down back |
| 2 | Derrick Henry | RB | Alabama | Power runner, size/speed |
| 3 | Kenyan Drake | RB | Alabama | Explosive athlete, receiving upside |
| 4 | Devontae Booker | RB | Utah | Vision and contact balance |
| 5 | C.J. Prosise | RB | Notre Dame | Former WR, pass-game skills |
| 6 | Paul Perkins | RB | UCLA | Lateral agility, zone fit |
| 7 | Kenneth Dixon | RB | Louisiana Tech | Productive all-around back |
| 8 | Tyler Ervin | RB | San Jose State | Speed, space player |
| 9 | Jonathan Williams | RB | Arkansas | Physical runner, early-down profile |
| 10 | Jordan Howard | RB | Indiana | One-cut runner, toughness |
