# Capital Punishment in Europe  Methods and Crimes (Country Overview Without Abolition Year)

| Country | Is capital punishment in law? | Commonly cited capital offenses | Primary method (historical/current) | Constitutional court stance | Notes |
|---|---|---|---|---|---|
| Belarus | Yes | Aggravated murder, terrorism | Shooting | Permitted | Only executing state in Europe |
| Russia | Yes (moratorium) | Aggravated murder, terrorism | Shooting | Moratorium upheld | No executions in practice |
| Turkey | No | N/A | Hanging (historical) | Abolished in reforms | EU-alignment reforms |
| Ukraine | No | N/A | Shooting (historical) | Abolition upheld | Post-Soviet reforms |
| Poland | No | N/A | Hanging (historical) | Abolition accepted | EU member |
| Romania | No | N/A | Shooting (historical) | Constitution forbids | Post-1989 transition |
| Germany | No | N/A | Beheading (historical) | Basic Law bans | Strong constitutional ban |
| France | No | N/A | Guillotine (historical) | Constitutional compliance | Landmark reform |
| Spain | No (civilian); exceptional military clause historically | N/A | Garrote (historical) | Constitutional limits | Complex historical status |
| United Kingdom | No | N/A | Hanging (historical) | Statutory abolition | Human-rights framework |
