# Wheel Bolt Pattern (PCD) Reference Table for Truck SUV Models by Make and Generation

| Make | Model | Generation / Year range | Bolt pattern / PCD |
|---|---|---|---|
| Ford | F-150 | 2004–2014 | 6x135 |
| Ford | F-150 | 2015–2020 | 6x135 |
| Ford | Ranger | 2019–2023 | 6x139.7 |
| Chevrolet | Silverado 1500 | 1999–2018 | 6x139.7 |
| Chevrolet | Silverado 1500 | 2019–2024 | 6x139.7 |
| RAM | 1500 | 2002–2010 | 5x139.7 |
| RAM | 1500 | 2011–2018 | 5x139.7 |
| Toyota | Tacoma | 2005–2023 | 6x139.7 |
| Toyota | 4Runner | 2003–2024 | 6x139.7 |
| Jeep | Wrangler (JK) | 2007–2018 | 5x127 |
| Jeep | Wrangler (JL) | 2018–2024 | 5x127 |
| GMC | Sierra 1500 | 2007–2018 | 6x139.7 |
