# State Capital Gains Tax Rates (Selected States) — Short-Term vs Long-Term Comparison

| State | Capital Gains Short-Term Rate | Capital Gains Long-Term Rate | Top Marginal State Income Tax Rate | Notes / Special Rules |
|---|---:|---:|---:|---|
| California | 13.3% | 13.3% | 13.3% | Taxes capital gains as ordinary income (no preferential CG rate) |
| Texas | 0% | 0% | 0% | No state individual income tax |
| Florida | 0% | 0% | 0% | No state individual income tax |
| Washington | 0% | 7.0% | 0% | Long-term CG excise tax may apply to certain high-income taxpayers; short-term generally not covered |
| Oregon | 9.9% | 9.9% | 9.9% | Taxes capital gains as ordinary income |
| Colorado | 4.4% | 4.4% | 4.4% | Flat-rate income tax; CG taxed as ordinary income |
| Illinois | 4.95% | 4.95% | 4.95% | Flat-rate income tax; CG taxed as ordinary income |
| Pennsylvania | 3.07% | 3.07% | 3.07% | Flat-rate income tax; CG treated similarly to ordinary income |
| New Hampshire | 0% | 0% | 0% | No broad wage income tax; limited taxes may apply to certain investment income |
| Tennessee | 0% | 0% | 0% | No state income tax on wages; investment-income tax repealed |
