# 2007 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/club team |
| --- | --- | --- | --- |
| Ahearn, Blake Blake Ahearn | PG | United States | Missouri State (Sr.) |
| Anthony, Joel Joel Anthony | C | Canada | UNLV (Sr.) |
| Ayón, Gustavo Gustavo Ayón | C/PF | Mexico | Baloncesto Fuenlabrada (Spain) 1985 |
| Brown, Bobby Bobby Brown | PG | United States | Cal State Fullerton (Sr.) |
| Dawson, Eric Eric Dawson | PF/C | United States | Midwestern State (Sr.) |
| Dowdell, Zabian Zabian Dowdell | PG | United States | Virginia Tech (Sr.) |
| Johnson, Ivan Ivan Johnson | PF | United States | Cal State San Bernardino (Sr.) |
| Johnson, Trey Trey Johnson | SG | United States | Jackson State (Sr.) |
| Karl, Coby Coby Karl | SG | United States | Boise State (Sr.) |
| Martin, Cartier Cartier Martin | SF/SG | United States | Kansas State (Sr.) |
| Neal, Gary Gary Neal | SG | United States | Towson (Sr.) |
| Shakur, Mustafa Mustafa Shakur | PG | United States | Arizona (Sr.) |
| Sims, Courtney Courtney Sims | C | United States | Michigan (Sr.) |
| Teletović, Mirza Mirza Teletović | PF | Bosnia and Herzegovina | Saski Baskonia (Spain) 1985 |
| Tolliver, Anthony Anthony Tolliver | PF | United States | Creighton (Sr.) |
| Watkins, Darryl Darryl Watkins | C | United States | Syracuse (Sr.) |
| West, Mario Mario West | G | United States | Georgia Tech (Sr.) |
